customer_id,disb_date,tenure,account_num,loan_amount,loan_fee
f455f509e7cf86f043507dcacdc75c2e25f845c1c873930aa739536aecb38331,18-May-24,30 days,5B57VAY4H366ACBHTN3A3WJNYLO4JKL2,3000,450
48c804d28259494937aa84e8e39b90c766ac867905d1b2672dab2956af462e24,18-May-24,7 days,2QTLZ8ADJNR1WZLCZ7F38BRHROMG7K4Q,3500,350
d3eff1de593529e274aef578605cb30f2ec6dee350dbc3375b0724d2b39dbbda,18-May-24,14 days,EV8UDRVZS6KLMHBL60KRW99BVGIDU805,840,100.8
1e67375e63c4b2308d1f91ee504b3d2145d28b7418bdc590950eb4b38f62931b,18-May-24,7 days,2DZ530RM9Q29C3QM5QEN3HOXKISPU4YH,3500,350
7a16e889aabd3a0eaa259193b7e06311962918c00639903c620f8868dd1ce129,31-May-24,30 days,NVXUWRLLL0EXUORLXN0PBOEJJU1E272D,2040,306
f3074d4e26422a5148447b455b576f1076bc1cd3e82fc4e9f88bd5fb88c578e5,31-May-24,14 days,WL6M5YFQSNACJ8NKDPXNIY1ZOEX2QKPD,700,84
ca5a486428ac9969c77b75ebe3932244c1455c43dbc63c0bb35bb011b464877e,31-May-24,7 days,S99NKF8MEXKJNRDWKJJ7B3I5NPOA7SN8,2900,290
15ccd4e2ad784e6ed289cd6c00272dfa3578d8c36e62cd95e175faa371b77b10,31-May-24,7 days,UBSU9RMO640I9FD4X8LVIEGQFM6ZIZRI,290,29
f3606d5ac9a89e0251a60d7183a09bc742eba2e36882af0ca0440f9e7b213b92,31-May-24,7 days,TY6JDEK6QBGU1CH13SO6QBNQPZBRYMIW,1800,180
6429689d1a802d99abe78f9830c08f1393de5f998b55f31d58c8c3d92264c4d4,31-May-24,30 days,GWIZDSY8OBIC1XXGB41VSMYE2MHAIQKU,1250,187.5
22289929bc231305c7fc1cb2e74251228e01c6fb0ecfab27048857815f87a7d5,31-May-24,14 days,6LL6NHOMUEYPVTP0D4PRHCGKQNSTEBNU,290,34.8
ca23d157c80fc2f7ddc131e6696c65a4303ba3570785f890e8de6b49bdae257e,31-May-24,30 days,9137LDX9T8BLXRSP5JUUH990Y2EOPVDX,210,31.5
8cd93cb94689634f9ba9f7b7228cf317b4985eb32c83737a5131610516cff305,31-May-24,30 days,4UYYC099GEIZRII669YL04ZH99E66XRK,900,135
45d3b869ff2a3c41e28f1d7552f40337dd2f484bf1f66fdfdfdb67d90f0dd383,31-May-24,30 days,Z54NFIAOM15IRQNW6WRVOVE80JHNZCNV,1140,171
0735b86685042b3deb152dceac707e8c87bc0b06a7882f8b6359101f6e27fda0,31-May-24,7 days,PHSN5WWBY3LI0D1UW0TM9T24F3ZD7T4P,100,10
